REF_AREA,TIME_PERIOD,ENERGY_PRODUCT,FLOW_BREAKDOWN,UNIT_MEASURE,OBS_VALUE,ASSESSMENT_CODE
VN,2002-01,GASDIES,CLOSTLV,CONVBBL,..,3
VN,2002-01,GASDIES,CLOSTLV,KBBL,-,3
VN,2002-01,GASDIES,CLOSTLV,KBD,x,3
VN,2002-01,GASDIES,CLOSTLV,KL,-,3
VN,2002-01,GASDIES,CLOSTLV,KTONS,-,3
VN,2002-01,GASDIES,IPTRANSF,CONVBBL,,3
VN,2002-01,GASDIES,IPTRANSF,KBBL,,3
VN,2002-01,GASDIES,IPTRANSF,KBD,,3
VN,2002-01,GASDIES,IPTRANSF,KL,,3
VN,2002-01,GASDIES,IPTRANSF,KTONS,,3
VN,2002-01,GASDIES,PTRANSF,CONVBBL,,3
VN,2002-01,GASDIES,PTRANSF,KBBL,,3
VN,2002-01,GASDIES,PTRANSF,KBD,,3
VN,2002-01,GASDIES,PTRANSF,KL,,3
VN,2002-01,GASDIES,PTRANSF,KTONS,,3
VN,2002-01,GASDIES,RECEIPTS,CONVBBL,,3
VN,2002-01,GASDIES,RECEIPTS,KBBL,,3
VN,2002-01,GASDIES,RECEIPTS,KBD,,3
VN,2002-01,GASDIES,RECEIPTS,KL,,3
VN,2002-01,GASDIES,RECEIPTS,KTONS,,3
VN,2002-01,GASDIES,REFGROUT,CONVBBL,7000.0000,3
VN,2002-01,GASDIES,REFGROUT,KBBL,0.0000,3
VN,2002-01,GASDIES,REFGROUT,KBD,0.0000,3
VN,2002-01,GASDIES,REFGROUT,KL,0.0000,3
VN,2002-01,GASDIES,REFGROUT,KTONS,0.0000,3
VN,2002-01,GASDIES,STATDIFF,CONVBBL,,3
VN,2002-01,GASDIES,STATDIFF,KBBL,,3
VN,2002-01,GASDIES,STATDIFF,KBD,,3
VN,2002-01,GASDIES,STATDIFF,KL,,3
VN,2002-01,GASDIES,STATDIFF,KTONS,,3
VN,2002-01,GASDIES,STOCKCH,CONVBBL,..,3
VN,2002-01,GASDIES,STOCKCH,KBBL,-,3
VN,2002-01,GASDIES,STOCKCH,KBD,x,3
VN,2002-01,GASDIES,STOCKCH,KL,-,3
VN,2002-01,GASDIES,STOCKCH,KTONS,-,3
VN,2002-01,GASDIES,TOTDEMO,CONVBBL,..,3
VN,2002-01,GASDIES,TOTDEMO,KBBL,-,3
VN,2002-01,GASDIES,TOTDEMO,KBD,-,3
VN,2002-01,GASDIES,TOTDEMO,KL,-,3
VN,2002-01,GASDIES,TOTDEMO,KTONS,-,3
VN,2002-01,GASDIES,TOTEXPSB,CONVBBL,7000.0000,3
VN,2002-01,GASDIES,TOTEXPSB,KBBL,0.0000,3
VN,2002-01,GASDIES,TOTEXPSB,KBD,0.0000,3
VN,2002-01,GASDIES,TOTEXPSB,KL,0.0000,3
VN,2002-01,GASDIES,TOTEXPSB,KTONS,0.0000,3
VN,2002-01,GASDIES,TOTIMPSB,CONVBBL,7467.0000,3
VN,2002-01,GASDIES,TOTIMPSB,KBBL,2434.2420,1
